date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,avg_wind_speed_kmh
Sun Mar 31 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,2.7,-2.2,8.9,0,7.5
Mon Apr 01 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,0.7,-1.7,3.9,0,19.1
Tue Apr 02 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,-0.6,-2.2,1.7,1.5,8.8
Wed Apr 03 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,1.3,-3.3,7.2,0,9.1
Thu Apr 04 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,2.1,-5.6,10.6,0,8.9
Fri Apr 05 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,3.2,0.6,6.7,7.9,19.6
Sat Apr 06 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,3.5,1.1,6.1,1.8,12.7
Sun Apr 07 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,2.7,-0.6,7.2,0.5,8.4
Mon Apr 08 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,1.9,-2.2,6.7,0,8.9
Tue Apr 09 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,3.3,2.2,4.4,4.8,19
Wed Apr 10 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,2.4,0,4.4,10.4,11.7
Thu Apr 11 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,3.7,1.1,6.7,0,17.9
Fri Apr 12 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,4.6,2.8,7.2,1,28
Sat Apr 13 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,4.1,1.1,7.2,4.8,20.2
Sun Apr 14 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,3.4,1.1,6.7,0,17
Mon Apr 15 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,4.8,3.3,6.7,0.3,27.3
Tue Apr 16 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,3.8,1.7,7.8,3.3,18
Wed Apr 17 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,2.6,1.1,5,2.5,19.6
Thu Apr 18 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,2.9,-1.1,7.8,3.8,12.3
Fri Apr 19 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,2.2,0,3.9,3,24.3
Sat Apr 20 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,4.2,1.1,8.9,0.3,15.2
Sun Apr 21 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,4.6,0.6,10.6,0,7.4
Mon Apr 22 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,3.9,2.8,5,1,13.6
Tue Apr 23 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,4.6,3.3,7.2,2.5,15.3
Wed Apr 24 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,6.4,2.2,12.8,0.8,7.7
Thu Apr 25 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,5,-0.6,12.2,0.5,7.7
Fri Apr 26 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,6,4.4,8.3,6.1,11.1
Sat Apr 27 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,6.5,3.9,10.6,0.3,10.7
Sun Apr 28 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,5.8,1.7,10.6,0.8,5.3
Mon Apr 29 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,5.8,3.9,8.9,7.9,8.4
Tue Apr 30 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,4.8,1.1,9.4,3.6,6.8
Wed May 01 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,4.1,2.8,5.6,3.3,19.3
Thu May 02 1974 19:00:00 GMT-0500 (Central Daylight Time),Spring,4.4,2.8,5.6,12.2,22.1
